knowledge_Administration and Management,knowledge_Administrative,knowledge_Economics and Accounting,knowledge_Sales and Marketing,knowledge_Customer and Personal Service,knowledge_Personnel and Human Resources,knowledge_Transportation,knowledge_Production and Processing,knowledge_Food Production,knowledge_Computers and Electronics,knowledge_Engineering and Technology,knowledge_Design,knowledge_Building and Construction,knowledge_Mechanical,knowledge_Mathematics,knowledge_Physics,knowledge_Chemistry,knowledge_Biology,knowledge_Psychology,knowledge_Sociology and Anthropology,knowledge_Geography,knowledge_Medicine and Dentistry,knowledge_Therapy and Counseling,knowledge_Education and Training,knowledge_English Language,knowledge_Foreign Language,knowledge_Fine Arts,knowledge_History and Archeology,knowledge_Philosophy and Theology,knowledge_Public Safety and Security,knowledge_Law and Government,knowledge_Telecommunications,knowledge_Communications and Media,skills_Reading Comprehension,skills_Active Listening,skills_Writing,skills_Speaking,skills_Mathematics,skills_Science,skills_Critical Thinking,skills_Active Learning,skills_Learning Strategies,skills_Monitoring,skills_Social Perceptiveness,skills_Coordination,skills_Persuasion,skills_Negotiation,skills_Instructing,skills_Service Orientation,skills_Complex Problem Solving,skills_Operations Analysis,skills_Technology Design,skills_Equipment Selection,skills_Installation,skills_Programming,skills_Operations Monitoring,skills_Operation and Control,skills_Equipment Maintenance,skills_Troubleshooting,skills_Repairing,skills_Quality Control Analysis,skills_Judgment and Decision Making,skills_Systems Analysis,skills_Systems Evaluation,skills_Time Management,skills_Management of Financial Resources,skills_Management of Material Resources,skills_Management of Personnel Resources,abilities_Oral Comprehension,abilities_Written Comprehension,abilities_Oral Expression,abilities_Written Expression,abilities_Fluency of Ideas,abilities_Originality,abilities_Problem Sensitivity,abilities_Deductive Reasoning,abilities_Inductive Reasoning,abilities_Information Ordering,abilities_Category Flexibility,abilities_Mathematical Reasoning,abilities_Number Facility,abilities_Memorization,abilities_Speed of Closure,abilities_Flexibility of Closure,abilities_Perceptual Speed,abilities_Spatial Orientation,abilities_Visualization,abilities_Selective Attention,abilities_Time Sharing,abilities_Arm-Hand Steadiness,abilities_Manual Dexterity,abilities_Finger Dexterity,abilities_Control Precision,abilities_Multilimb Coordination,abilities_Response Orientation,abilities_Rate Control,abilities_Reaction Time,abilities_Wrist-Finger Speed,abilities_Speed of Limb Movement,abilities_Static Strength,abilities_Explosive Strength,abilities_Dynamic Strength,abilities_Trunk Strength,abilities_Stamina,abilities_Extent Flexibility,abilities_Dynamic Flexibility,abilities_Gross Body Coordination,abilities_Gross Body Equilibrium,abilities_Near Vision,abilities_Far Vision,abilities_Visual Color Discrimination,abilities_Night Vision,abilities_Peripheral Vision,abilities_Depth Perception,abilities_Glare Sensitivity,abilities_Hearing Sensitivity,abilities_Auditory Attention,abilities_Sound Localization,abilities_Speech Recognition,abilities_Speech Clarity,interest_Realistic,interest_Investigative,interest_Artistic,interest_Social,interest_Enterprising,interest_Conventional,onetsoc_code
3.0403545,-0.4450594,2.8773482,2.1845715,1.2259257,3.51418,0.19537039,0.29882807,-0.40507692,1.0880097,0.7203748,-0.34303784,-0.025419148,-0.31416336,0.7375257,0.018201536,-0.44337726,-0.12257813,0.86905164,1.3442209,1.2183421,-0.3355787,0.09484508,0.7634989,1.2751667,1.4575086,0.5586544,1.253536,1.403046,1.62739,1.3488989,0.87095416,1.0540104,1.1748011,0.88544446,1.4853536,1.4675118,1.1654053,-0.38252085,1.9115614,1.2239423,0.58990276,1.8017966,2.06272,2.9482796,2.5141497,3.0047832,0.9448531,0.33579472,2.3724787,1.7102201,0.053580422,-0.88143075,-0.47831795,0.29569063,-0.7708621,-0.36712483,-0.85005784,-0.7248048,-0.8055694,-0.8204886,3.3664103,2.5035233,2.873603,2.7508688,4.9112673,4.6598077,3.3178978,2.1343324,1.2553438,1.6962587,1.2708808,1.8350726,1.7564895,0.97637874,1.3798734,1.1799755,1.7800496,1.0908558,1.0460804,1.0469699,1.2807041,1.399195,0.8632445,0.45359787,-0.32010943,0.4358339,-0.22281155,0.7927325,-1.3250082,-1.6769164,-1.7569084,-0.7551101,-0.5829359,-0.6100437,-0.5806275,-0.71714455,-0.99272996,-0.9535092,-1.2823173,-0.96109784,-0.93281394,-1.5574884,-1.222647,-1.2466542,-0.5165115,-1.2011381,-1.1458935,0.07159931,0.2639906,-1.1261299,-0.25107825,-0.3404636,-0.68213403,-0.38763857,-0.30963424,-0.596502,-0.07353291,1.707881,1.9174676,-1.7254703,-0.05631447,0.11777235,0.35639754,2.5679944,0.47896692,11-1011.00
1.9529444,-0.13036568,1.5777974,1.2951145,-0.012901637,1.0270602,1.3852472,-0.3469682,1.1660957,-0.09362159,0.62368417,0.7140147,1.8503535,0.029640721,-0.13839477,0.38567245,0.41141117,0.99027497,0.6757108,1.5117307,1.7759677,-0.5414032,0.023074059,0.59553313,1.085885,0.48862436,0.44322115,1.5324092,0.95933,-0.2661652,1.62833,-0.36770657,1.8930115,0.95714396,0.88544446,1.4853536,0.95100725,0.53704613,0.17876165,1.3362982,1.2239423,1.0495695,1.1521211,1.5418007,1.6406159,2.2728622,1.0035808,0.7189695,0.58374137,1.6006906,1.3295943,0.3812119,-0.88143075,-0.47831795,0.5546652,-0.7708621,-0.22930007,-0.85005784,-1.3799659,-0.8055694,-0.8204886,1.4069794,2.0793047,2.2106347,0.8666418,2.0700405,0.63214135,1.0377891,0.6525101,0.8196199,0.6404509,1.2708808,1.8350726,1.9961061,0.68122554,0.84734285,0.93491364,0.69326764,-0.048817944,0.22037679,0.59653664,-0.11237119,-0.29391506,-0.112834595,-1.4781909,-0.9602125,-0.06322563,0.30195725,-0.003402642,-1.748491,-1.6769164,-1.3762572,-1.0366895,-0.8607699,-1.1576865,-1.0882499,-1.1765369,-1.5484139,-0.9535092,-1.2823173,-0.96109784,-1.3349286,-1.5574884,-1.222647,-1.2466542,-0.5165115,-1.2011381,-1.1458935,-1.656056,-0.07580092,-0.8779011,-0.81559694,-0.8334717,-0.27097726,-0.85538954,-0.5682837,-0.8669021,-0.86863744,1.707881,1.3314413,-1.3416892,0.8675453,0.4452619,0.3736346,2.4422166,-0.028687846,11-1011.03
2.125549,0.7979818,1.5930862,1.0794884,0.9225396,1.7664742,0.1253777,1.3668756,-0.10097885,-0.4388173,0.5592238,0.11801698,0.39520866,0.44422764,0.635335,-0.019812666,-0.16682811,-0.6738044,0.19235821,0.018100467,-0.5866047,-0.6546065,-0.22812417,-0.35118404,0.053435896,-0.57478535,-0.13394487,-0.252381,-0.6676281,-0.0079530645,0.124724954,-0.4384871,0.07517602,0.95714396,0.88544446,0.50279075,0.95100725,0.09549583,-0.5172287,0.8052869,0.9726436,0.37774935,1.8017966,1.2596356,1.9806088,1.750072,1.7640378,0.28457844,0.58374137,0.8289027,0.7269358,-0.5764802,-1.0576934,-0.47831795,-0.20233743,-0.43023193,-0.36712483,-0.85005784,-0.39722425,-0.8055694,-0.05797851,0.82140195,0.7359444,0.84886086,1.5960194,2.318907,2.6344666,2.3090003,0.6525101,0.8196199,0.6404509,1.0817868,0.66570246,0.5952718,0.68122554,0.84734285,0.15888332,0.35007378,0.7309593,0.4350599,0.59653664,-0.47457108,-0.29391506,-0.7987288,-1.1433473,-0.11797159,-0.06322563,-0.7475803,0.39466494,-1.0575454,-1.1114017,-1.7569084,-1.4646902,-0.8607699,-1.1576865,-1.0882499,-0.42700195,-0.20194891,-0.9535092,-0.6737018,-0.10191382,-1.1419135,-0.40731862,-0.36094496,-0.9401792,-0.5165115,-0.44282633,-0.5525757,-0.34303758,-0.81201726,-1.374359,-0.5446279,-0.3404636,-0.4683325,-0.85538954,-1.1071372,-0.596502,-0.34554234,0.6529877,1.0501488,-1.248337,-0.566237,-0.5126449,0.27021208,2.6183052,0.7974954,11-1021.00
1.9011626,0.86092055,1.3484648,3.3570375,0.93518037,0.35486543,-0.23858467,0.13737886,-0.57402027,0.41089505,-0.50437444,0.6465433,-0.4687836,-1.011883,0.09518416,-0.83078307,-1.0341871,-0.6530034,0.60320777,0.8137727,0.19113655,-0.42819974,-0.048696823,-0.12213945,1.2751667,-0.14942132,1.6305339,0.34254897,0.5525906,-0.39527112,-0.31438082,0.5347466,3.1204388,0.503691,1.1488149,0.8989855,0.95100725,0.74083817,-0.38252085,1.0707926,0.25740987,0.37774935,-0.14723001,1.8022605,0.98678416,1.2674972,1.0035808,0.0760709,0.33579472,0.58518046,1.1234214,0.053580422,-0.88143075,-0.47831795,0.29569063,-1.28862,-1.3778397,-0.85005784,-1.3799659,-0.8055694,-1.2169937,1.1141907,0.7359444,0.84886086,1.2313306,1.8004347,1.4837048,1.0377891,0.6525101,0.8196199,1.1683547,0.8926927,1.5937738,1.7564895,0.04172579,0.84734285,0.15888332,-0.3649141,0.7309593,0.6332286,0.59653664,0.22196655,0.3614819,0.52029735,0.14451197,-0.9602125,0.9348934,-0.7475803,0.39466494,-1.3250082,-1.2471251,-1.5741957,-1.4646902,-1.4164381,-1.1576865,-1.0882499,-1.1765369,-0.20194891,-0.9535092,-1.2823173,-0.96109784,-1.3349286,-1.1844603,-1.222647,-1.2466542,-0.5165115,-1.2011381,-1.1458935,0.5207901,-0.07580092,0.69421715,-0.81559694,-0.8334717,-0.68213403,-0.85538954,-1.1071372,-1.4302362,-0.86863744,1.3747573,1.3314413,-1.8447535,-0.97417504,1.5669132,0.13806126,2.6434608,-0.21781364,11-2011.00
1.763079,0.48328775,1.4401977,3.5861404,0.5433064,0.53971916,-0.61654574,-0.011650915,-0.43886554,0.6764303,0.41955924,1.0513722,-0.75299156,-1.092778,0.6061377,-1.0335258,-1.0467575,-0.78820986,0.0956878,0.1576921,0.49929821,-0.59285927,-0.19223873,0.015287076,1.3956194,-0.0076335194,0.5586544,0.36114052,0.090386555,-0.3522358,0.523912,1.3487233,2.2659009,0.73948675,0.622074,0.10659592,0.70308536,0.31627095,-0.23658739,0.8052869,1.475241,0.58990276,1.1521211,1.5418007,0.98678416,2.011467,2.004182,0.28457844,0.33579472,0.8289027,2.1225655,0.053580422,-1.0576934,-0.47831795,0.5546652,-1.1114923,-1.3778397,-0.85005784,-1.3799659,-0.8055694,-0.8204886,1.1141907,0.96572983,1.5297477,1.2313306,2.0700405,1.4837048,1.5624163,0.6525101,0.8196199,0.6404509,0.8926927,1.5937738,1.516873,0.04172579,0.84734285,0.6694294,-0.3649141,0.34107068,0.83139724,1.0469699,0.5563043,0.7164892,0.20373137,-0.19033171,-0.9602125,0.4358339,-0.7475803,0.39466494,-1.6147596,-1.6769164,-1.3762572,-1.5998483,-1.4164381,-1.1576865,-1.0882499,-1.1765369,-0.4797909,-0.9535092,-1.2823173,-0.96109784,-0.93281394,-0.98240346,-1.222647,-1.2466542,-0.5165115,-1.2011381,-1.1458935,-0.34303758,-0.07580092,0.69421715,-0.81559694,-0.8334717,-0.68213403,-0.85538954,-0.8269334,-1.1373025,-0.86863744,0.6529877,0.74541485,-1.8810571,-0.26028344,0.42070022,-0.045801047,2.6434608,0.18034641,11-2021.00
1.6940372,0.3259409,1.14971,3.3839908,1.3396957,1.0942795,0.13937624,0.22431318,-0.57402027,0.22502062,-0.26801914,-0.43299967,-0.23004897,-0.5467365,-0.0070068203,-0.6026977,-0.82049,-0.52819747,0.37361553,-0.07961356,0.5873443,-0.8192662,-0.2640096,0.5039151,1.1202999,0.32320496,-0.01851158,-0.49407133,-0.039030466,-1.2559779,-0.5671994,1.1186866,1.2870663,0.73948675,0.88544446,0.6929641,0.95100725,0.74083817,-0.38252085,0.8052869,1.2239423,0.81973606,1.1521211,1.5418007,1.9806088,2.755437,2.5244951,1.3618683,1.785328,1.0929356,0.9172487,0.053580422,-1.0576934,-0.47831795,0.03671604,-1.1114923,-0.51643497,-0.85005784,-1.3799659,-0.8055694,-1.0187411,1.1141907,1.6197338,1.7447644,1.2313306,2.318907,2.0821013,2.3090003,0.6525101,0.8196199,0.6404509,0.8926927,1.5937738,1.516873,0.36147565,0.84734285,0.6694294,0.006879945,0.34107068,0.83139724,1.0469699,1.6150417,0.7164892,-0.4557817,-0.83426136,-0.11797159,-0.8018335,-1.8845814,-0.003402642,-1.3250082,-1.1114017,-1.3762572,-0.9015314,-0.8607699,-0.6100437,-0.9279481,-1.0314656,-0.7362604,-0.7274071,-1.2823173,-0.96109784,-1.3349286,-0.98240346,-1.222647,-1.2466542,-0.5165115,-1.2011381,-1.1458935,-1.2068652,-0.81201726,-1.374359,-0.5446279,-0.5968278,-0.89593554,-0.6308691,-1.1071372,-0.8669021,-0.6175518,1.3747573,1.0501488,-1.6269319,-1.0041705,-0.5126449,0.22424658,2.6434608,1.0562994,11-2022.00
2.108288,1.8836762,1.1649989,-0.32208043,1.2891314,1.6152302,-0.2525832,0.522373,-0.18545063,0.46400204,-0.34322324,-0.12937833,0.49752343,-0.08159009,0.24117078,-0.5013263,-0.6570745,-0.5073965,-0.36349723,-0.21920519,-0.51323295,-0.057715748,-0.060658637,-0.27483597,0.621283,-0.6456792,-0.38130167,-0.122240156,-0.18693586,0.78102815,0.55052483,0.94173515,0.09071307,0.95714396,0.88544446,0.8989855,0.70308536,-0.5328634,-1.0785114,0.5176553,0.0061111883,0.37774935,0.19060156,0.17438583,1.6406159,0.5034195,2.004182,0.28457844,0.58374137,0.07742538,1.1234214,-0.5764802,-0.88143075,-0.47831795,-0.4413909,-0.43023193,-0.66574514,-0.85005784,-0.22688238,-0.8055694,-0.25623125,-0.011918957,0.7359444,0.18589233,2.7508688,2.0700405,2.0821013,1.5624163,0.6525101,0.8196199,0.6404509,0.8926927,0.42440373,0.37408772,-0.2534274,0.27043363,0.15888332,-0.7367081,-0.048817944,0.005693674,0.35255158,0.5563043,-1.0039297,-0.112834595,-0.19033171,-0.11797159,0.19628555,0.30195725,1.5276252,-0.5003313,-0.54588693,-0.2343033,-0.4735307,-0.7274096,-0.43710387,-0.26002377,-0.5720732,-1.2705718,-0.9535092,-0.5276341,0.16940746,-0.53069925,-0.98240346,-0.69450706,-0.63370436,-0.5165115,-0.44282633,-0.36521217,0.07159931,-0.44390905,-1.1261299,0.31344044,0.15254451,-0.27097726,0.080112405,-0.30963424,-0.30356804,0.17755274,0.6529877,0.44068083,-1.5750695,-0.7822043,-0.7582619,0.46556577,2.335306,1.9023902,11-3012.00
1.1762232,-0.35065126,-0.012241435,-0.36251047,0.79612875,1.7328645,-1.3164734,-0.85615385,-0.6415975,2.3493018,1.2038286,0.4441289,-0.69615,-1.0422187,0.09518416,-0.48865494,-1.0216167,-0.88181436,-0.1822399,-0.023776973,0.5579956,-0.8398486,-0.41951331,0.045826305,-0.32512873,-0.8583612,0.09692151,-0.84731114,-0.6676281,-1.155562,-0.4607496,0.94173515,-0.28217632,0.95714396,0.88544446,0.8989855,0.70308536,0.9446302,-0.23658739,1.3362982,0.50870854,0.81973606,1.4899526,0.9774704,1.6406159,0.74470687,0.76343685,0.49308595,-0.12195211,1.0929356,1.7102201,1.9437622,0.234899,-0.47831795,2.287803,0.4281563,-0.22930007,-0.3954127,0.5855174,-0.21344842,0.50627863,1.4069794,1.6197338,1.7447644,0.8666418,2.318907,1.7829031,2.0466866,0.6525101,0.8196199,0.6404509,0.68784034,0.9070012,0.83488834,0.97637874,1.1136081,1.1799755,1.0650617,0.34107068,0.6332286,1.0469699,0.5563043,0.7164892,0.20373137,-0.19033171,-0.75807464,0.4358339,-0.7475803,-0.003402642,-0.35545546,-0.41016352,-0.81289345,-0.4735307,-0.9941303,-0.7973951,-0.7542878,-0.87430507,0.33236256,-0.9535092,-1.2823173,-0.96109784,-0.53069925,-0.98240346,-1.222647,-1.2466542,-0.5165115,-1.2011381,-1.1458935,0.5207901,-0.44390905,-0.3400708,-0.81559694,-0.8334717,-0.68213403,-0.6308691,-1.1071372,-0.8669021,-0.86863744,-0.013259778,0.44068083,-1.0720053,0.65157807,-0.3570873,-0.28137442,1.4422853,1.1956555,11-3021.00
2.2636325,1.5689821,2.9232152,1.5646467,1.5672352,1.8673034,-1.0784979,-0.7195431,-0.5064428,0.33123457,-1.1704662,-0.99526167,-0.63930845,-1.0624424,0.9273086,-1.2616111,-1.3107365,-0.89221483,-0.14598851,-0.38671514,-0.4398612,-0.8501398,-0.5391316,0.41229743,-0.60044855,0.11052327,-0.56269675,-0.5312544,-0.0020541758,-0.7969342,1.5085735,-0.65082896,0.6189729,0.95714396,0.88544446,0.8989855,0.95100725,1.5899725,-0.79787004,1.0707926,0.7406761,0.37774935,1.1521211,0.9774704,1.3006232,1.2674972,1.0035808,0.0760709,1.2894347,0.8289027,-0.46252117,-0.27405107,-0.6904796,-0.47831795,0.5546652,-0.9343646,-1.2400149,-0.85005784,-1.0523853,-0.8055694,-0.8204886,0.82140195,0.5238351,0.63384414,1.5960194,2.5677733,0.9313397,2.0466866,0.93931425,1.0287672,0.8938445,0.8926927,0.9070012,0.15290366,0.68122554,1.1136081,0.93491364,1.0650617,-0.048817944,1.4589322,1.7601566,0.22196655,1.399195,0.8632445,0.14451197,-0.9602125,-1.3208557,-1.3160809,-1.1363629,-0.9126697,-0.8286443,-1.3762572,-1.3182689,-1.4164381,-1.1576865,-1.0882499,-1.1765369,0.33236256,-0.9535092,-1.2823173,-0.96109784,-1.3349286,-0.7803466,-1.0558659,-1.2466542,-0.5165115,-1.2011381,-1.1458935,0.5207901,-1.8597083,-2.408647,-0.5446279,-0.5968278,-1.0932908,-0.85538954,-1.6459907,-0.8669021,-0.6175518,1.0138725,1.3314413,-1.7669601,-0.53024244,-0.3243384,0.01740166,2.6434608,1.1757475,11-3031.00
1.763079,-0.35065126,3.733523,-0.30860382,-0.7334444,1.2287183,-1.1764878,-0.8809922,-0.5064428,-0.2662196,-1.0093149,-1.0964688,-0.92351645,-1.345575,1.2046835,-1.2109256,-1.3107365,-0.89221483,-0.5447544,-0.47047,-0.6159534,-0.73693633,-0.70659715,-0.7023855,0.91380954,-0.57478535,-0.5297159,-0.5312544,-0.3533294,-1.3563938,0.49729958,-1.1639884,-0.53076935,1.1748011,0.622074,0.6929641,0.95100725,2.0145397,-0.79787004,1.3362982,0.9726436,0.37774935,1.4899526,-0.107779354,0.67294526,0.5034195,1.0035808,0.0760709,-0.36989874,1.8444128,0.9172487,-0.27405107,-1.0576934,-0.47831795,0.03671604,-0.9343646,-1.2400149,-0.85005784,-1.3799659,-0.8055694,-0.8204886,1.9475116,0.96572983,1.7447644,0.8666418,4.392795,1.7829031,1.0377891,0.6525101,1.0287672,0.6404509,1.0817868,0.66570246,0.83488834,0.97637874,1.1136081,1.4250374,1.4368558,1.0908558,2.086467,2.2293582,0.91850424,1.0714966,0.20373137,0.7626838,-0.9602125,-0.8018335,-1.8845814,-0.7382953,-1.748491,-1.5411928,-0.81289345,-1.5998483,-1.4164381,-1.1576865,-1.0882499,-1.1765369,-1.2705718,-0.9535092,-1.2823173,-0.96109784,-0.93281394,-1.3709744,-1.222647,-1.2466542,-0.5165115,-1.2011381,-1.1458935,1.3846177,-1.4916002,-1.374359,-0.81559694,-0.8334717,-0.89593554,-0.85538954,-1.1071372,-1.4302362,-0.86863744,0.6529877,0.44068083,-1.8810571,-0.5602379,-0.53720653,-0.11474931,2.152928,1.6236782,11-3031.01
