,id,name,slug,description
0,DMkcgX7LEeyRTg6FtAvfBw,Intégrer des applications dans votre Dashboard Hootsuite,integrer-applications-dashboard-hootsuite,"À la fin de ce projet, vous aurez toutes les compétences de base pour intégrer des applications dans votre Dashboard Hootsuite. Vous serez en mesure de découvrir les différents types d’applications que vous pouvez installer et vous pourrez les intégrer facilement et rapidement à votre tableau de bord sur Hootsuite."
1,ecoAPNowEe22LAo38arT7w,Overcoming  Challenges in Self and Society,overcoming-challenges-in-self-and-society,"This course is an personal development and academic voyage that delves into the heart of human endurance and societal fortitude. It embarks on an exploratory mission to dissect the essence of adversity, weaving through personal, societal, and environmental intricacies. Learners will cultivate a nuanced understanding of resilience as a dynamic force and its transformative impact on the self and society.

Distinguished by its interdisciplinary framework, the course fuses elements of psychology, sociology, spirituality, and ecology. It begins with a deep dive into the historical and philosophical underpinnings of adversity, engaging with diverse narratives and examining the resilience of notable figures and civilizations. The journey progresses to unveil the psychological anatomy of resilience, where learners will dissect concepts like grit and growth mindset, discerning their role in personal development and societal progress.

As the course advances, it guides learners through the spiritual and humanistic dimensions of resilience, drawing on Renaissance humanism and ancient wisdom. This module offers a kaleidoscopic view of inner strength, inviting a renaissance of personal growth. In the digital realm, students will explore how resilience manifests and adapts in the face of technological evolution and global interconnectedness.

Concluding with a global perspective, the course navigates the role of resilience in societal transformation, from historical upheavals to modern challenges. Learners will emerge from this course not just as repositories of knowledge, but as empowered individuals equipped to foster resilience in themselves and ignite change within their communities."
2,YLO0oGSUEeyIUg4Qv2RsBQ,كيفية استعمال التطبيق هووتسويت,getting-started-with-hootsuite-ar,"ينشئ العديد من الأشخاص حسابات وسائط اجتماعية متعددة ويجدون لاحقا أنه من الصعب جدا تحديث ملفاتهم الشخصية على جميع المواقع.
ولذلك ستكون هذه الدورة التدريبية عبارة عن دراسة تمهيدية عن التطبيق هووتسويت، حيث سنتعرف على كيفية إنشاء حساب مجاني، كما سنتعلم كيفية استخدام موقع هووتسويت وطبيعته وميزاته المتقدمة.

في نهاية هذه الدورة ستكون قادرا على إنشاء حسابا مجانيا وستكون لديك دراية شاملة على الواجهة الإلكترونية لهووتسويت ومميزات وخصائص هذا التطبيق.

في هذا المشروع، سنقدم لك مراجعة تفصيلية للميزات الي يقدمها هووتسويت لإدارة فعالة لوسائل التواصل الاجتماعي. الهدف هو مساعدتك في اتخاذ قرار مستنير حول ما إذا كان هووتسويت مناسب لمتطلبات إدارة لوسائط الاجتماعية الخاصة بك.
بإكمال هذه الدورة التدريبية عن هووتسويت، وبمجرد اكتمال هذا المشروع سيكون بإمكانك الاتصال بجميع بروفايلاتك على مواقع التواصل الاجتماعي.

ملاحظة: تعمل هذه الدورة التدريبية بشكل أفضل للمتعلمين المقيمين في منطقة أمريكا الشمالية، نعمل حاليا على توفير نفس التجربة في مناطق أخرى."
3,69Bku0KoEeWZtA4u62x6lQ,Gamification,gamification,"Gamification is the application of game elements and digital game design techniques to non-game problems, such as business and social impact challenges. This course will teach you the mechanisms of gamification, why it has such tremendous potential, and how to use it effectively. For additional information on the concepts described in the course, you can purchase Professor Werbach's book For the Win: How Game Thinking Can Revolutionize Your Business in print or ebook format in several languages."
4,0HiU7Oe4EeWTAQ4yevf_oQ,Dealing With Missing Data,missing-data,"This course will cover the steps used in weighting sample surveys, including methods for adjusting for nonresponse and using data external to the survey for calibration.  Among the techniques discussed are adjustments using estimated response propensities, poststratification, raking, and general regression estimation.  Alternative techniques for imputing values for missing items will be discussed.  For both weighting and imputation, the capabilities of different statistical software packages will be covered, including R®, Stata®, and SAS®."
5,sI_-QEBiEemtDRLx7Ne8jg,Unordered Data Structures,cs-fundamentals-3,"The Unordered Data Structures course covers the data structures and algorithms needed to implement hash tables, disjoint sets and graphs. These fundamental data structures are useful for unordered data. For example, a hash table provides immediate access to data indexed by an arbitrary key value, that could be a number (such as a memory address for cached memory), a URL (such as for a web cache) or a dictionary. Graphs are used to represent relationships between items, and this course covers several different data structures for representing graphs and several different algorithms for traversing graphs, including finding the shortest route from one node to another node. These graph algorithms will also depend on another concept called disjoint sets, so this course will also cover its data structure and associated algorithms."
6,rrZX06kxEeyjPxJkzIUqCw,Migrating to Cloud SQL from Amazon RDS for MySQL Using Database Migration Service,googlecloud-migrating-to-cloud-sql-from-amazon-rds-for-mysql-using-databas-lyazm,"This is a self-paced lab that takes place in the Google Cloud console.

In this lab, you migrate MySQL data from an Amazon RDS instance for MySQL to Cloud SQL for MySQL using a one-time Database Migration Service job and an IP allowlist for connectivity. After you create and run the migration job, you confirm that the data have been successfully migrated to your Cloud SQL for MySQL instance."
7,5zjIsJq-EeW_wArffOXkOw,Vital Signs: Understanding What the Body Is Telling Us,vital-signs,"The vital signs – heart rate, blood pressure, body temperature, respiration rate, and pain – communicate important information about the physiological status of the human body. In this six-part course we explore the anatomy and physiology underlying the vital signs so that you will develop a systematic, integrated understanding of how the body functions. Relevant body systems are reviewed including cardiovascular and respiratory, followed by explanations of how the function of these systems affects vital signs. We discuss normal ranges, normal variants, and the mechanisms that underlie changes in the objective measurement of vital signs. The course also includes demonstrations of appropriate techniques for measuring vital signs in yourself and others.

The course is designed for a broad, general audience but will be particularly interesting for individuals working in healthcare, those considering a career as a healthcare professional, lay caregivers, those with an interest in personal health and fitness, or anyone who simply wants to understand how the body functions."
8,WFanvtoSEeedbRLwgi9a7A,FinTech Disruptive Innovation: Implications for Society,fintech-disruption,"This course “FinTech Disruptive Innovation: Implications for Society” help you understand how disruptive innovations create opportunity in finance industry and its impact to society especially your career. You would be able to examine and analyse how FinTech innovations would affect companies that relates to FinTech services and how it might affect your career in finance.

You will learn about how peer to peer lending disrupt finance industry in different countries, the diversity of impact by FinTech in the comparison of East vs West, Big firms vs Small firms, and different generations etc., how to predict FinTech trends in different markets, and finally what you should do to pursue your career and secure your position in FinTech industry."
9,FBvT5U8KEe-Yaw6jHW3arw,Get Started with iOS App Development ,get-started-with-ios-app-development,"In a world increasingly dominated by mobile technologies, the demand for mobile app developers continues to be at an all-time high. Apple’s thriving business and enduring popularity of iPhone apps emphasize this trend. Whether you’re a beginner eager to make strides in this field or a seasoned developer seeking to upskill, mastering iOS app development is essential to succeed in this competitive market.  

This course will introduce you to the essential components, features, tools, and concepts for developing iOS apps. You will explore Xcode, its interface, and key features. You will also gain insight into the features and concepts of Swift and SwiftUI. Finally, you will develop basic iOS apps using the skills you learned throughout the course.    

The hands-on learning offered in this course will further equip you with a solid foundation for developing iOS apps.

You will require a macOS laptop or desktop to complete the hands-on labs and project. This micro-course, which will only take a few hours to complete, is suitable for beginners and experienced developers and requires no prior programming experience.

So, enroll today to gain the practical experience employers seek and prepare to take your career to new heights!"
